Statistical Population,True Prevalence,New Clinical Cases,Infectious Vectors,Rainfall,Air Temperature,Time,Day,Year,date,Run_Number
2001,0.0224887561053,0,0.004007889423519,7.979727989493e-14,31.68071746826,50,50,2022,2022-02-19,0
2001,0.02748625725508,0,0.004204242955893,0.0,30.90038299561,51,51,2022,2022-02-20,0
2000,0.03550000116229,0,0.005226731300354,0.0,30.15804672241,52,52,2022,2022-02-21,0
2000,0.04749999940395,0,0.00552941346541,0.0,30.21380233765,53,53,2022,2022-02-22,0
2000,0.05249999836087,0,0.006054761819541,0.0,30.51933670044,54,54,2022,2022-02-23,0
2001,0.05747126415372,0,0.005135602783412,0.0,28.65176963806,55,55,2022,2022-02-24,0
2001,0.08095952123404,0,0.005247729830444,0.3759218752384,28.44751358032,56,56,2022,2022-02-25,0
2001,0.09045477211475,0,0.005629101768136,8.326672684689e-14,29.82364463806,57,57,2022,2022-02-26,0
2001,0.09545227140188,0,0.005627541337162,7.979727989493e-14,30.24484825134,58,58,2022,2022-02-27,0
2001,0.1064467802644,0,0.005612377077341,3.469446740195e-15,31.17508125305,59,59,2022,2022-02-28,0
2000,0.1254999935627,2,0.005757422652096,8.326672684689e-14,31.23925209045,60,60,2022,2022-03-01,0
1999,0.1360680311918,4,0.005540202837437,0.01622378453612,31.09685134888,61,61,2022,2022-03-02,0
1999,0.1505752950907,18,0.005908993538469,0.156110137701,32.90073394775,62,62,2022,2022-03-03,0
1998,0.1641641706228,16,0.005711992736906,0.0,32.71269989014,63,63,2022,2022-03-04,0
1998,0.1736736744642,18,0.00540983164683,0.0,34.25578308105,64,64,2022,2022-03-05,0
1998,0.1866866797209,17,0.005273334681988,0.0004457310133148,33.88123703003,65,65,2022,2022-03-06,0
1998,0.1971971988678,15,0.004424993414432,0.0,33.30436706543,66,66,2022,2022-03-07,0
1998,0.2077077031136,17,0.004112190101296,0.0,33.56178283691,67,67,2022,2022-03-08,0
1998,0.2207207232714,40,0.003447253722697,0.0,33.14033889771,68,68,2022,2022-03-09,0
1997,0.2293440103531,16,0.00307648209855,0.0,34.11199569702,69,69,2022,2022-03-10,0
1998,0.2352352291346,17,0.002774513559416,0.0,33.69394683838,70,70,2022,2022-03-11,0
1998,0.2402402460575,29,0.002613599412143,0.006521943025291,32.83277511597,71,71,2022,2022-03-12,0
1998,0.2487487494946,33,0.002478288020939,0.0,32.5721244812,72,72,2022,2022-03-13,0
1998,0.2542542517185,28,0.002198603702709,0.0,32.91123199463,73,73,2022,2022-03-14,0
1997,0.2603905797005,19,0.002003068570048,0.0,32.35402297974,74,74,2022,2022-03-15,0
1997,0.2628943324089,26,0.001809329260141,0.0,31.78385353088,75,75,2022,2022-03-16,0
1997,0.2694041132927,18,0.001676420331933,0.0,32.39268493652,76,76,2022,2022-03-17,0
1997,0.2719078660011,32,0.001497006043792,0.0,31.62334251404,77,77,2022,2022-03-18,0
1997,0.2759138643742,21,0.001448331517167,0.0,32.314037323,78,78,2022,2022-03-19,0
1997,0.2794191241264,19,0.001748526352458,0.0,31.64284706116,79,79,2022,2022-03-20,0
1997,0.2824236452579,24,0.002221625298262,0.0,30.9577960968,80,80,2022,2022-03-21,0
1996,0.284569144249,14,0.003502118866891,0.0,31.39399147034,81,81,2022,2022-03-22,0
1997,0.2869303822517,11,0.005560560617596,3.469446740195e-15,32.63459396362,82,82,2022,2022-03-23,0
1997,0.2894341647625,14,0.01029928773642,0.008971986360848,32.88877487183,83,83,2022,2022-03-24,0
1996,0.2915831804276,15,0.01377979293466,0.0530105419457,33.74631881714,84,84,2022,2022-03-25,0
1996,0.2920841574669,15,0.02615059539676,7.979727989493e-14,33.0733833313,85,85,2022,2022-03-26,0
1996,0.2940881848335,5,0.03049092367291,0.0,33.40815353394,86,86,2022,2022-03-27,0
1996,0.2955911755562,12,0.03838436678052,0.0,33.40167999268,87,87,2022,2022-03-28,0
1996,0.2975952029228,9,0.04628898575902,0.0,32.59833908081,88,88,2022,2022-03-29,0
1996,0.3011021912098,7,0.04920483008027,0.0,32.76956939697,89,89,2022,2022-03-30,0
1996,0.30861723423,12,0.05646819248796,0.0,32.24431610107,90,90,2022,2022-03-31,0
1996,0.315130263567,6,0.06360844522715,0.0,32.81061935425,91,91,2022,2022-04-01,0
1997,0.3229844868183,3,0.05899826064706,16.26394271851,29.6954536438,92,92,2022,2022-04-02,0
1998,0.3328328430653,4,0.06313754618168,3.896152973175,27.98314285278,93,93,2022,2022-04-03,0
1997,0.3430145084858,8,0.07413600385189,0.001170260366052,29.6106967926,94,94,2022,2022-04-04,0
1997,0.3635453283787,3,0.0801292732358,0.0,30.84566879272,95,95,2022,2022-04-05,0
1997,0.3765648603439,5,0.08564649522305,0.0,31.96408653259,96,96,2022,2022-04-06,0
1996,0.40280559659,1,0.07810982316732,0.0,30.27802658081,97,97,2022,2022-04-07,0
1996,0.4303607344627,4,0.09396562725306,0.001359676825814,31.65606498718,98,98,2022,2022-04-08,0
1995,0.4551378488541,3,0.1030637919903,0.0,32.13483810425,99,99,2022,2022-04-09,0
1995,0.4872180521488,8,0.1322974264622,0.3713306486607,31.60056877136,100,100,2022,2022-04-10,0
1995,0.518796980381,10,0.1449258178473,0.0,31.82434272766,101,101,2022,2022-04-11,0
1995,0.5503759384155,18,0.1489811986685,0.0,33.78103637695,102,102,2022,2022-04-12,0
1995,0.5849624276161,17,0.1628423631191,0.0,33.46424865723,103,103,2022,2022-04-13,0
1996,0.6062124371529,20,0.1852664798498,0.0,32.56703948975,104,104,2022,2022-04-14,0
1996,0.6287575364113,21,0.1896248459816,0.0,33.67483901978,105,105,2022,2022-04-15,0
1996,0.656813621521,36,0.1981000602245,0.0,33.95160675049,106,106,2022,2022-04-16,0
1996,0.6763526797295,36,0.2044156044722,0.0185154825449,34.15507507324,107,107,2022,2022-04-17,0
1997,0.6995493173599,44,0.1984571367502,0.0,32.78443908691,108,108,2022,2022-04-18,0
1997,0.7275913953781,62,0.201161980629,0.0,35.13758850098,109,109,2022,2022-04-19,0
1997,0.7446169257164,59,0.2012518644333,0.07173901796341,34.07992553711,110,110,2022,2022-04-20,0
1997,0.7626439929008,54,0.2042901366949,0.3945005536079,34.05772018433,111,111,2022,2022-04-21,0
1997,0.7816725373268,76,0.2064638584852,1.587980747223,29.10857772827,112,112,2022,2022-04-22,0
1997,0.7976965308189,73,0.2023318111897,1.754330873489,32.13017272949,113,113,2022,2022-04-23,0
1997,0.8092138171196,80,0.2025503069162,0.008635661564767,32.33620071411,114,114,2022,2022-04-24,0
1997,0.8237355947495,48,0.2041803598404,0.001829783432186,34.10218429565,115,115,2022,2022-04-25,0
1997,0.8357536196709,44,0.2023238092661,3.469446740195e-15,34.16070556641,116,116,2022,2022-04-26,0
1997,0.8447671532631,58,0.1969638615847,8.326672684689e-14,33.80094528198,117,117,2022,2022-04-27,0
1997,0.8532799482346,54,0.195444688201,2.28187417984,32.76715087891,118,118,2022,2022-04-28,0
1996,0.8617234230042,50,0.1933807879686,0.3564908802509,31.98251533508,119,119,2022,2022-04-29,0
1996,0.8697394728661,56,0.1902975142002,1.209398150444,32.09598922729,120,120,2022,2022-04-30,0
1997,0.8763144612312,40,0.1887726336718,0.0186772197485,33.51138687134,121,121,2022,2022-05-01,0
1997,0.8818227052689,42,0.1829052567482,0.0,33.80105209351,122,122,2022,2022-05-02,0
1997,0.8858287334442,32,0.1813897937536,0.04833348840475,34.09583282471,123,123,2022,2022-05-03,0
1997,0.8918377757072,40,0.1783048957586,0.03521712869406,33.80191040039,124,124,2022,2022-05-04,0
1996,0.8967936038971,25,0.1752435564995,0.2147327959538,33.4256401062,125,125,2022,2022-05-05,0
