month,PfPR,Cases,Severe cases,Pop,agebin
1,0.2214411247803,1.92442882061,0.0,18.96666666667,0.25
2,0.06481481481481,0.6759259104729,0.0,18.0,0.25
3,0.0352422907489,0.0,0.0,22.7,0.25
4,0.1640513552068,2.603423595428,0.0,23.36666666667,0.25
5,0.3316993464052,3.578431248665,0.0,20.4,0.25
6,0.3168831168831,1.896103858948,0.0,12.83333333333,0.25
7,0.2057291666667,1.90104162693,0.0,12.8,0.25
8,0.3280423280423,2.896825432777,0.0,12.6,0.25
9,0.1882352941176,2.147058784962,0.0,17.0,0.25
10,0.2034188034188,1.871794939041,0.0,19.5,0.25
11,0.2577996715928,2.397372722626,0.0,20.3,0.25
12,0.2565055762082,2.035315990448,0.0,17.93333333333,0.25
13,0.2269807280514,3.126338243484,0.0,15.56666666667,0.25
14,0.2728971962617,2.04672896862,0.0,17.83333333333,0.25
15,0.1553398058252,0.0,0.0,20.6,0.25
16,0.09672131147541,0.598360657692,0.0,20.33333333333,0.25
17,0.08849557522124,1.292035341263,0.0,18.83333333333,0.25
18,0.1489361702128,3.106383085251,0.0,15.66666666667,0.25
19,0.218875502008,1.465863466263,0.0,16.6,0.25
20,0.2180327868852,2.99180328846,0.0,20.33333333333,0.25
21,0.1759133964817,1.975642800331,0.0,24.63333333333,0.25
22,0.1719901719902,0.8968058824539,0.0,27.13333333333,0.25
23,0.206106870229,2.786259591579,0.0,26.2,0.25
24,0.3106546854942,3.748395442963,0.0,25.96666666667,0.25
1,0.799718969555,2.598594799638,0.03419203683734,355.8333333333,5.0
2,0.6655477855478,1.939860217273,0.0,357.5,5.0
3,0.5481011477092,2.315946593881,0.0,357.2333333333,5.0
4,0.5459910078681,3.418883308768,0.03418883308768,355.8666666667,5.0
5,0.6501164415463,3.910107314587,0.03400093317032,357.8333333333,5.0
6,0.7532323605467,4.651828743517,0.1011267118156,360.9333333333,5.0
7,0.8235403842567,3.57442650944,0.03404215723276,357.4,5.0
8,0.8003593720446,2.726971715689,0.1035558879375,352.4666666667,5.0
9,0.7459730907713,2.939643859863,0.1037521362305,351.8,5.0
10,0.7063115996967,3.666603408754,0.03459059819579,351.7333333333,5.0
11,0.7531416603199,4.447829246521,0.03474866598845,350.1333333333,5.0
12,0.8286205578907,4.463125705719,0.03486816957593,348.9333333333,5.0
13,0.8290784853374,3.117585517466,0.03463983908296,351.2333333333,5.0
14,0.7272640791476,2.118055656552,0.0,350.4,5.0
15,0.634776802747,2.262972239405,0.0,349.4666666667,5.0
